City,Country,Number of Projects,Total Funds Raised (USD),Included Projects,Funds Raised Resource,City/Country Verification Resources,Coordinate/Mapping Resource,Aggregation Method
Washington,United States,1,715080000,"World Liberty Financial (WLFI) ($715,080,000)",CryptoRank. (n.d.). Top 50 ICOs by funding [Dataset excerpt supplied by the researcher].,"World Liberty Financial (WLFI): World Liberty Financial. (n.d.). Gold paper [PDF]. Retrieved June 10, 2026, from https://static.worldlibertyfinancial.com/docs/intl/gold-paper.pdf","OpenStreetMap contributors. (n.d.). Nominatim search API. OpenStreetMap Foundation. Retrieved June 10, 2026, from https://nominatim.openstreetmap.org/; coordinates recorded in decimal degrees using WGS84 from verified city-country pairs or capital-city fallback where only country was verified.",Number of Projects counts included project records for this city-country pair; Total Funds Raised sums project-level funds.
Bern,Switzerland,1,607430000,"Near Protocol (NEAR) ($607,430,000)",CryptoRank. (n.d.). Top 50 ICOs by funding [Dataset excerpt supplied by the researcher].,"Near Protocol (NEAR): NEAR Foundation. (n.d.). NEAR Foundation. Retrieved June 10, 2026, from https://near.foundation/","OpenStreetMap contributors. (n.d.). Nominatim search API. OpenStreetMap Foundation. Retrieved June 10, 2026, from https://nominatim.openstreetmap.org/; coordinates recorded in decimal degrees using WGS84 from verified city-country pairs or capital-city fallback where only country was verified.",Number of Projects counts included project records for this city-country pair; Total Funds Raised sums project-level funds.
Singapore,Singapore,2,472370000,"Axie Infinity (AXS) ($313,970,000) | Aethir (ATH) ($158,400,000)",CryptoRank. (n.d.). Top 50 ICOs by funding [Dataset excerpt supplied by the researcher].,"Axie Infinity (AXS): Crunchbase. (n.d.). Sky Mavis company profile. Crunchbase. Retrieved June 10, 2026, from https://www.crunchbase.com/organization/sky-mavis | Aethir (ATH): PitchBook. (n.d.). Aethir company profile. PitchBook. Retrieved June 10, 2026, from https://pitchbook.com/profiles/company/532644-40","OpenStreetMap contributors. (n.d.). Nominatim search API. OpenStreetMap Foundation. Retrieved June 10, 2026, from https://nominatim.openstreetmap.org/; coordinates recorded in decimal degrees using WGS84 from verified city-country pairs or capital-city fallback where only country was verified.",Number of Projects counts included project records for this city-country pair; Total Funds Raised sums project-level funds.
Camana Bay,Cayman Islands,1,457060000,"Polygon (MATIC) ($457,060,000)",CryptoRank. (n.d.). Top 50 ICOs by funding [Dataset excerpt supplied by the researcher].,"Polygon (MATIC): CB Insights. (n.d.). Polygon Labs company profile. CB Insights. Retrieved June 10, 2026, from https://www.cbinsights.com/company/matic-network","OpenStreetMap contributors. (n.d.). Nominatim search API. OpenStreetMap Foundation. Retrieved June 10, 2026, from https://nominatim.openstreetmap.org/; coordinates recorded in decimal degrees using WGS84 from verified city-country pairs or capital-city fallback where only country was verified.",Number of Projects counts included project records for this city-country pair; Total Funds Raised sums project-level funds.
Nyack,United States,1,446500000,"Flying Tulip (FT) ($446,500,000)",CryptoRank. (n.d.). Top 50 ICOs by funding [Dataset excerpt supplied by the researcher].,"Flying Tulip (FT): Crunchbase. (n.d.). Flying Tulip company profile. Crunchbase. Retrieved June 10, 2026, from https://www.crunchbase.com/organization/flying-tulip","OpenStreetMap contributors. (n.d.). Nominatim search API. OpenStreetMap Foundation. Retrieved June 10, 2026, from https://nominatim.openstreetmap.org/; coordinates recorded in decimal degrees using WGS84 from verified city-country pairs or capital-city fallback where only country was verified.",Number of Projects counts included project records for this city-country pair; Total Funds Raised sums project-level funds.
George Town,Cayman Islands,1,431530000,"Monad (MON) ($431,530,000)",CryptoRank. (n.d.). Top 50 ICOs by funding [Dataset excerpt supplied by the researcher].,"Monad (MON): Monad. (n.d.). Privacy policy. Retrieved June 10, 2026, from https://www.monad.xyz/privacy-policy","OpenStreetMap contributors. (n.d.). Nominatim search API. OpenStreetMap Foundation. Retrieved June 10, 2026, from https://nominatim.openstreetmap.org/; coordinates recorded in decimal degrees using WGS84 from verified city-country pairs or capital-city fallback where only country was verified.",Number of Projects counts included project records for this city-country pair; Total Funds Raised sums project-level funds.
Palo Alto,United States,1,405370000,"Sui (SUI) ($405,370,000)",CryptoRank. (n.d.). Top 50 ICOs by funding [Dataset excerpt supplied by the researcher].,"Sui (SUI): Built In SF. (n.d.). Mysten Labs company profile. Built In SF. Retrieved June 10, 2026, from https://www.builtinsf.com/company/mysten-labs","OpenStreetMap contributors. (n.d.). Nominatim search API. OpenStreetMap Foundation. Retrieved June 10, 2026, from https://nominatim.openstreetmap.org/; coordinates recorded in decimal degrees using WGS84 from verified city-country pairs or capital-city fallback where only country was verified.",Number of Projects counts included project records for this city-country pair; Total Funds Raised sums project-level funds.
Central,Hong Kong,1,380100000,"Hashkey (HSK) ($380,100,000)",CryptoRank. (n.d.). Top 50 ICOs by funding [Dataset excerpt supplied by the researcher].,"Hashkey (HSK): HashKey Group. (n.d.). HSK. Retrieved June 10, 2026, from https://group.hashkey.com/en/hsk","OpenStreetMap contributors. (n.d.). Nominatim search API. OpenStreetMap Foundation. Retrieved June 10, 2026, from https://nominatim.openstreetmap.org/; coordinates recorded in decimal degrees using WGS84 from verified city-country pairs or capital-city fallback where only country was verified.",Number of Projects counts included project records for this city-country pair; Total Funds Raised sums project-level funds.
Sydney,Australia,1,322380000,"Immutable (IMX) ($322,380,000)",CryptoRank. (n.d.). Top 50 ICOs by funding [Dataset excerpt supplied by the researcher].,"Immutable (IMX): CB Insights. (n.d.). Immutable. Retrieved June 10, 2026, from https://www.cbinsights.com/company/fuel-bros","OpenStreetMap contributors. (n.d.). Nominatim search API. OpenStreetMap Foundation. Retrieved June 10, 2026, from https://nominatim.openstreetmap.org/; coordinates recorded in decimal degrees using WGS84 from verified city-country pairs or capital-city fallback where only country was verified.",Number of Projects counts included project records for this city-country pair; Total Funds Raised sums project-level funds.
Phuket,Thailand,1,320000000,"Dragon Coins (DRG) ($320,000,000)",CryptoRank. (n.d.). Top 50 ICOs by funding [Dataset excerpt supplied by the researcher].,"Dragon Coins (DRG): Crunchbase. (n.d.). Dragon company profile. Crunchbase. Retrieved June 10, 2026, from https://www.crunchbase.com/organization/dragon-afe2","OpenStreetMap contributors. (n.d.). Nominatim search API. OpenStreetMap Foundation. Retrieved June 10, 2026, from https://nominatim.openstreetmap.org/; coordinates recorded in decimal degrees using WGS84 from verified city-country pairs or capital-city fallback where only country was verified.",Number of Projects counts included project records for this city-country pair; Total Funds Raised sums project-level funds.
Berlin,Germany,1,310000000,"OneFootball (OFC) ($310,000,000)",CryptoRank. (n.d.). Top 50 ICOs by funding [Dataset excerpt supplied by the researcher].,"OneFootball (OFC): North Data. (n.d.). OneFootball Capital GmbH, Berlin, Germany. Retrieved June 10, 2026, from https://www.northdata.com/OneFootball%20Capital%20GmbH,%20Berlin/Amtsgericht%20Charlottenburg%20(Berlin)%20HRB%20131613%20B","OpenStreetMap contributors. (n.d.). Nominatim search API. OpenStreetMap Foundation. Retrieved June 10, 2026, from https://nominatim.openstreetmap.org/; coordinates recorded in decimal degrees using WGS84 from verified city-country pairs or capital-city fallback where only country was verified.",Number of Projects counts included project records for this city-country pair; Total Funds Raised sums project-level funds.
Victoria,Seychelles,1,300000000,"Huobi Token (HT) ($300,000,000)",CryptoRank. (n.d.). Top 50 ICOs by funding [Dataset excerpt supplied by the researcher].,"Huobi Token (HT): Financial Services Authority Seychelles. (2023, November 30). Alert: Huobi Global Limited (194154). https://fsaseychelles.sc/media-corner/regulatory-updates/alert-huobi-global-limited-194155; HTX. (n.d.). Privacy policy. Retrieved June 10, 2026, from https://www.htx.com/en-us/about/privacy/","OpenStreetMap contributors. (n.d.). Nominatim search API. OpenStreetMap Foundation. Retrieved June 10, 2026, from https://nominatim.openstreetmap.org/; coordinates recorded in decimal degrees using WGS84 from verified city-country pairs or capital-city fallback where only country was verified.",Number of Projects counts included project records for this city-country pair; Total Funds Raised sums project-level funds.
Richardson,United States,1,286100000,"Hedera (HBAR) ($286,100,000)",CryptoRank. (n.d.). Top 50 ICOs by funding [Dataset excerpt supplied by the researcher].,"Hedera (HBAR): City of Richardson Economic Development. (n.d.). Hedera Hashgraph selects Richardson, Texas 3400 at CityLine for new corporate headquarters. Retrieved June 10, 2026, from https://richardsoneconomicdevelopment.com/press-release-hedera-hashgraph-selects-richardson-texas-3400-at-cityline-for-new-corporate-headquarters/","OpenStreetMap contributors. (n.d.). Nominatim search API. OpenStreetMap Foundation. Retrieved June 10, 2026, from https://nominatim.openstreetmap.org/; coordinates recorded in decimal degrees using WGS84 from verified city-country pairs or capital-city fallback where only country was verified.",Number of Projects counts included project records for this city-country pair; Total Funds Raised sums project-level funds.
Schaffhausen,Switzerland,1,254880000,"SIRIN LABS (SRN) ($254,880,000)",CryptoRank. (n.d.). Top 50 ICOs by funding [Dataset excerpt supplied by the researcher].,"SIRIN LABS (SRN): PitchBook. (n.d.). Sirin Labs company profile. PitchBook. Retrieved June 10, 2026, from https://pitchbook.com/profiles/company/94847-68","OpenStreetMap contributors. (n.d.). Nominatim search API. OpenStreetMap Foundation. Retrieved June 10, 2026, from https://nominatim.openstreetmap.org/; coordinates recorded in decimal degrees using WGS84 from verified city-country pairs or capital-city fallback where only country was verified.",Number of Projects counts included project records for this city-country pair; Total Funds Raised sums project-level funds.
Mahé,Seychelles,1,205000000,"KuCoin Token (KCS) ($205,000,000)",CryptoRank. (n.d.). Top 50 ICOs by funding [Dataset excerpt supplied by the researcher].,"KuCoin Token (KCS): Crunchbase. (n.d.). KuCoin company profile. Crunchbase. Retrieved June 10, 2026, from https://www.crunchbase.com/organization/kucoin; PitchBook. (n.d.). KuCoin company profile. PitchBook. Retrieved June 10, 2026, from https://pitchbook.com/profiles/company/234559-90; Financial Post. (n.d.). KuCoin co-releases KCS whitepaper with KCS Management Foundation, revealing the 20 million KCS burn. Retrieved June 10, 2026, from https://financialpost.com/pmn/press-releases-pmn/business-wire-news-releases-pmn/kucoin-co-releases-kcs-whitepaper-with-kcs-management-foundation-revealing-the-20-million-kcs-burn","OpenStreetMap contributors. (n.d.). Nominatim search API. OpenStreetMap Foundation. Retrieved June 10, 2026, from https://nominatim.openstreetmap.org/; coordinates recorded in decimal degrees using WGS84 from verified city-country pairs or capital-city fallback where only country was verified.",Number of Projects counts included project records for this city-country pair; Total Funds Raised sums project-level funds.
Vaduz,Liechtenstein,1,203400000,"Unizen (ZCX) ($203,400,000)",CryptoRank. (n.d.). Top 50 ICOs by funding [Dataset excerpt supplied by the researcher].,"Unizen (ZCX): Crunchbase. (n.d.). Unizen company profile. Crunchbase. Retrieved June 10, 2026, from https://www.crunchbase.com/organization/unizen-1ed5","OpenStreetMap contributors. (n.d.). Nominatim search API. OpenStreetMap Foundation. Retrieved June 10, 2026, from https://nominatim.openstreetmap.org/; coordinates recorded in decimal degrees using WGS84 from verified city-country pairs or capital-city fallback where only country was verified.",Number of Projects counts included project records for this city-country pair; Total Funds Raised sums project-level funds.
London,United Kingdom,1,175510000,"Gari Network (GARI) ($175,510,000)",CryptoRank. (n.d.). Top 50 ICOs by funding [Dataset excerpt supplied by the researcher].,"Gari Network (GARI): Tracxn. (n.d.). GARI company profile, team, funding, competitors, and financials. Retrieved June 10, 2026, from https://tracxn.com/d/companies/gari/__XJFXSLybEu2PFHaa-fq9zAZE2vWqDml1BLbqH2ZhEY8","OpenStreetMap contributors. (n.d.). Nominatim search API. OpenStreetMap Foundation. Retrieved June 10, 2026, from https://nominatim.openstreetmap.org/; coordinates recorded in decimal degrees using WGS84 from verified city-country pairs or capital-city fallback where only country was verified.",Number of Projects counts included project records for this city-country pair; Total Funds Raised sums project-level funds.
San Juan,Puerto Rico,1,172500000,"Jupiter (JUP) ($172,500,000)",CryptoRank. (n.d.). Top 50 ICOs by funding [Dataset excerpt supplied by the researcher].,"Jupiter (JUP): Crunchbase. (n.d.). Jupiter company profile. Crunchbase. Retrieved June 10, 2026, from https://www.crunchbase.com/organization/jupiter-a111","OpenStreetMap contributors. (n.d.). Nominatim search API. OpenStreetMap Foundation. Retrieved June 10, 2026, from https://nominatim.openstreetmap.org/; coordinates recorded in decimal degrees using WGS84 from verified city-country pairs or capital-city fallback where only country was verified.",Number of Projects counts included project records for this city-country pair; Total Funds Raised sums project-level funds.
Belgrade,Serbia,1,159130000,"MobileGo (MGO) ($159,130,000)",CryptoRank. (n.d.). Top 50 ICOs by funding [Dataset excerpt supplied by the researcher].,"MobileGo (MGO): Crunchbase. (n.d.). MobileGo company profile. Crunchbase. Retrieved June 10, 2026, from https://www.crunchbase.com/organization/mobilego","OpenStreetMap contributors. (n.d.). Nominatim search API. OpenStreetMap Foundation. Retrieved June 10, 2026, from https://nominatim.openstreetmap.org/; coordinates recorded in decimal degrees using WGS84 from verified city-country pairs or capital-city fallback where only country was verified.",Number of Projects counts included project records for this city-country pair; Total Funds Raised sums project-level funds.
Jakarta,Indonesia,1,155000000,"Pintu Token (PTU) ($155,000,000)",CryptoRank. (n.d.). Top 50 ICOs by funding [Dataset excerpt supplied by the researcher].,"Pintu Token (PTU): Pintu. (n.d.). Pintu Indonesia [LinkedIn page]. LinkedIn. Retrieved June 10, 2026, from https://www.linkedin.com/company/pintu-indonesia","OpenStreetMap contributors. (n.d.). Nominatim search API. OpenStreetMap Foundation. Retrieved June 10, 2026, from https://nominatim.openstreetmap.org/; coordinates recorded in decimal degrees using WGS84 from verified city-country pairs or capital-city fallback where only country was verified.",Number of Projects counts included project records for this city-country pair; Total Funds Raised sums project-level funds.
"Haggatt Hall, Saint George",Barbados,1,154890000,"Polymath (POLY) ($154,890,000)",CryptoRank. (n.d.). Top 50 ICOs by funding [Dataset excerpt supplied by the researcher].,"Polymath (POLY): Crunchbase. (n.d.). Polymath Network company profile. Crunchbase. Retrieved June 10, 2026, from https://www.crunchbase.com/organization/polymath","OpenStreetMap contributors. (n.d.). Nominatim search API. OpenStreetMap Foundation. Retrieved June 10, 2026, from https://nominatim.openstreetmap.org/; coordinates recorded in decimal degrees using WGS84 from verified city-country pairs or capital-city fallback where only country was verified.",Number of Projects counts included project records for this city-country pair; Total Funds Raised sums project-level funds.
Vilnius,Lithuania,1,153770000,"Bankera (BNK) ($153,770,000)",CryptoRank. (n.d.). Top 50 ICOs by funding [Dataset excerpt supplied by the researcher].,"Bankera (BNK): Crunchbase. (n.d.). Bankera company profile. Crunchbase. Retrieved June 10, 2026, from https://www.crunchbase.com/organization/bankera","OpenStreetMap contributors. (n.d.). Nominatim search API. OpenStreetMap Foundation. Retrieved June 10, 2026, from https://nominatim.openstreetmap.org/; coordinates recorded in decimal degrees using WGS84 from verified city-country pairs or capital-city fallback where only country was verified.",Number of Projects counts included project records for this city-country pair; Total Funds Raised sums project-level funds.
Tel Aviv,Israel,1,153000000,"Bancor (BNT) ($153,000,000)",CryptoRank. (n.d.). Top 50 ICOs by funding [Dataset excerpt supplied by the researcher].,"Bancor (BNT): Tracxn. (n.d.). Bancor Protocol company profile and team. Retrieved June 10, 2026, from https://tracxn.com/d/companies/bancorprotocol/__4rtBBu__gLHbOCOeet1AvJxk7oAaNsvQM7gwfkxjMyk","OpenStreetMap contributors. (n.d.). Nominatim search API. OpenStreetMap Foundation. Retrieved June 10, 2026, from https://nominatim.openstreetmap.org/; coordinates recorded in decimal degrees using WGS84 from verified city-country pairs or capital-city fallback where only country was verified.",Number of Projects counts included project records for this city-country pair; Total Funds Raised sums project-level funds.
Dagenham,United Kingdom,1,150350000,"Data Ownership Protocol (DOP) ($150,350,000)",CryptoRank. (n.d.). Top 50 ICOs by funding [Dataset excerpt supplied by the researcher].,"Data Ownership Protocol (DOP): Companies House. (n.d.). D.DOP LTD. GOV.UK. Retrieved June 10, 2026, from https://find-and-update.company-information.service.gov.uk/company/11728720","OpenStreetMap contributors. (n.d.). Nominatim search API. OpenStreetMap Foundation. Retrieved June 10, 2026, from https://nominatim.openstreetmap.org/; coordinates recorded in decimal degrees using WGS84 from verified city-country pairs or capital-city fallback where only country was verified.",Number of Projects counts included project records for this city-country pair; Total Funds Raised sums project-level funds.
Bangkok,Thailand,1,145840000,"Zentry (ZENT) ($145,840,000)",CryptoRank. (n.d.). Top 50 ICOs by funding [Dataset excerpt supplied by the researcher].,"Zentry (ZENT): Crunchbase. (n.d.). Zentry company profile. Crunchbase. Retrieved June 10, 2026, from https://www.crunchbase.com/organization/guildfi","OpenStreetMap contributors. (n.d.). Nominatim search API. OpenStreetMap Foundation. Retrieved June 10, 2026, from https://nominatim.openstreetmap.org/; coordinates recorded in decimal degrees using WGS84 from verified city-country pairs or capital-city fallback where only country was verified.",Number of Projects counts included project records for this city-country pair; Total Funds Raised sums project-level funds.
Riga,Latvia,1,145000000,"Lido (LDO) ($145,000,000)",CryptoRank. (n.d.). Top 50 ICOs by funding [Dataset excerpt supplied by the researcher].,"Lido (LDO): Tracxn. (n.d.). Lido company profile. Retrieved June 10, 2026, from https://tracxn.com/d/companies/lido/__Cdtcv0hZcjkaz230KP9H4fRVXaQg9AgdIqDSzB8OWw4","OpenStreetMap contributors. (n.d.). Nominatim search API. OpenStreetMap Foundation. Retrieved June 10, 2026, from https://nominatim.openstreetmap.org/; coordinates recorded in decimal degrees using WGS84 from verified city-country pairs or capital-city fallback where only country was verified.",Number of Projects counts included project records for this city-country pair; Total Funds Raised sums project-level funds.
