Project,Country,Region,City,Latitude,Longitude,Funds Raised (USD),Funds Raised Resource,Country/City Verification Resource,Location Evidence Note,Region Classification Resource,Coordinate Resource
Avalanche (AVAX),United States,North America,New York,40.712800,-74.006000,577700000,CryptoRank. (n.d.). Top 50 ICOs by funding [Dataset excerpt supplied by the researcher].,"Crunchbase. (n.d.). Ava Labs company profile. Crunchbase. Retrieved June 10, 2026, from https://www.crunchbase.com/organization/ava-labs","Crunchbase profile for Ava Labs, the company behind Avalanche, consistently lists its headquarters as New York, New York, United States. This indicates the primary operational headquarters.","United Nations Statistics Division. (n.d.). Standard country or area codes for statistical use (M49). United Nations. Retrieved June 10, 2026, from https://unstats.un.org/unsd/methodology/m49/; Research protocol fixed seven-region classification: North America, South America, Europe, Asia, Africa, Oceania, Caribbean; unverified locations coded as Not Classified.","OpenStreetMap contributors. (n.d.). Nominatim search API. OpenStreetMap Foundation. Retrieved June 10, 2026, from https://nominatim.openstreetmap.org/; coordinates recorded in decimal degrees using WGS84 from verified city-country pairs or capital-city fallback where only country was verified."
Polkadot (DOT),Switzerland,Europe,Zug,47.166200,8.515500,510830000,CryptoRank. (n.d.). Top 50 ICOs by funding [Dataset excerpt supplied by the researcher].,"Web3 Foundation. (n.d.). Legal disclosures. Retrieved June 10, 2026, from https://web3.foundation/legal-disclosures/; Crunchbase. (n.d.). Web3 Foundation company profile. Crunchbase. Retrieved June 10, 2026, from https://www.crunchbase.com/organization/web3-foundation","The Web3 Foundation, which develops Polkadot, is headquartered in Zug, Switzerland, as stated in their legal disclosures and confirmed by Crunchbase. This is the foundation location for the project.","United Nations Statistics Division. (n.d.). Standard country or area codes for statistical use (M49). United Nations. Retrieved June 10, 2026, from https://unstats.un.org/unsd/methodology/m49/; Research protocol fixed seven-region classification: North America, South America, Europe, Asia, Africa, Oceania, Caribbean; unverified locations coded as Not Classified.","OpenStreetMap contributors. (n.d.). Nominatim search API. OpenStreetMap Foundation. Retrieved June 10, 2026, from https://nominatim.openstreetmap.org/; coordinates recorded in decimal degrees using WGS84 from verified city-country pairs or capital-city fallback where only country was verified."
Polygon (MATIC),Cayman Islands,Caribbean,Camana Bay,19.322200,-81.380600,457060000,CryptoRank. (n.d.). Top 50 ICOs by funding [Dataset excerpt supplied by the researcher].,"CB Insights. (n.d.). Polygon Labs company profile. CB Insights. Retrieved June 10, 2026, from https://www.cbinsights.com/company/matic-network","CB Insights states that Polygon Labs (formerly Matic Network) was founded in 2017 and is based in Camana Bay, Cayman Islands. This is listed under 'Headquarters Location'.","United Nations Statistics Division. (n.d.). Standard country or area codes for statistical use (M49). United Nations. Retrieved June 10, 2026, from https://unstats.un.org/unsd/methodology/m49/; Research protocol fixed seven-region classification: North America, South America, Europe, Asia, Africa, Oceania, Caribbean; unverified locations coded as Not Classified.","OpenStreetMap contributors. (n.d.). Nominatim search API. OpenStreetMap Foundation. Retrieved June 10, 2026, from https://nominatim.openstreetmap.org/; coordinates recorded in decimal degrees using WGS84 from verified city-country pairs or capital-city fallback where only country was verified."
Flying Tulip (FT),United States,North America,Nyack,41.090700,-73.917900,446500000,CryptoRank. (n.d.). Top 50 ICOs by funding [Dataset excerpt supplied by the researcher].,"Crunchbase. (n.d.). Flying Tulip company profile. Crunchbase. Retrieved June 10, 2026, from https://www.crunchbase.com/organization/flying-tulip","Crunchbase profile for Flying Tulip lists 'Nyack, New York, United States' as the company's location. This is considered the operational headquarters.","United Nations Statistics Division. (n.d.). Standard country or area codes for statistical use (M49). United Nations. Retrieved June 10, 2026, from https://unstats.un.org/unsd/methodology/m49/; Research protocol fixed seven-region classification: North America, South America, Europe, Asia, Africa, Oceania, Caribbean; unverified locations coded as Not Classified.","OpenStreetMap contributors. (n.d.). Nominatim search API. OpenStreetMap Foundation. Retrieved June 10, 2026, from https://nominatim.openstreetmap.org/; coordinates recorded in decimal degrees using WGS84 from verified city-country pairs or capital-city fallback where only country was verified."
Monad (MON),Cayman Islands,Caribbean,George Town,19.286600,-81.374400,431530000,CryptoRank. (n.d.). Top 50 ICOs by funding [Dataset excerpt supplied by the researcher].,"Monad. (n.d.). Privacy policy. Retrieved June 10, 2026, from https://www.monad.xyz/privacy-policy","The Monad Foundation's Privacy Policy states that personal information may be transferred to, processed, stored, and used in the Cayman Islands. This indicates the legal jurisdiction and likely headquarters of the foundation.","United Nations Statistics Division. (n.d.). Standard country or area codes for statistical use (M49). United Nations. Retrieved June 10, 2026, from https://unstats.un.org/unsd/methodology/m49/; Research protocol fixed seven-region classification: North America, South America, Europe, Asia, Africa, Oceania, Caribbean; unverified locations coded as Not Classified.","OpenStreetMap contributors. (n.d.). Nominatim search API. OpenStreetMap Foundation. Retrieved June 10, 2026, from https://nominatim.openstreetmap.org/; coordinates recorded in decimal degrees using WGS84 from verified city-country pairs or capital-city fallback where only country was verified."
Sui (SUI),United States,North America,Palo Alto,37.441900,-122.143000,405370000,CryptoRank. (n.d.). Top 50 ICOs by funding [Dataset excerpt supplied by the researcher].,"Built In SF. (n.d.). Mysten Labs company profile. Built In SF. Retrieved June 10, 2026, from https://www.builtinsf.com/company/mysten-labs","Multiple sources, including BuiltInSF, Pitchbook, and CBInsights, consistently list Palo Alto, California, USA as the headquarters or corporate office for Mysten Labs, the developer of Sui. While a UK registered office exists, the US location appears to be the primary operational headquarters.","United Nations Statistics Division. (n.d.). Standard country or area codes for statistical use (M49). United Nations. Retrieved June 10, 2026, from https://unstats.un.org/unsd/methodology/m49/; Research protocol fixed seven-region classification: North America, South America, Europe, Asia, Africa, Oceania, Caribbean; unverified locations coded as Not Classified.","OpenStreetMap contributors. (n.d.). Nominatim search API. OpenStreetMap Foundation. Retrieved June 10, 2026, from https://nominatim.openstreetmap.org/; coordinates recorded in decimal degrees using WGS84 from verified city-country pairs or capital-city fallback where only country was verified."
Hashkey (HSK),Hong Kong,Asia,Central,22.281900,114.158200,380100000,CryptoRank. (n.d.). Top 50 ICOs by funding [Dataset excerpt supplied by the researcher].,"HashKey Group. (n.d.). HSK. Retrieved June 10, 2026, from https://group.hashkey.com/en/hsk","The official HashKey Group website lists multiple addresses, with Hong Kong being the first and most prominent. Given the statement 'Leading in Asia with Global Footprints', Hong Kong is identified as the primary operational headquarters.","United Nations Statistics Division. (n.d.). Standard country or area codes for statistical use (M49). United Nations. Retrieved June 10, 2026, from https://unstats.un.org/unsd/methodology/m49/; Research protocol fixed seven-region classification: North America, South America, Europe, Asia, Africa, Oceania, Caribbean; unverified locations coded as Not Classified.","OpenStreetMap contributors. (n.d.). Nominatim search API. OpenStreetMap Foundation. Retrieved June 10, 2026, from https://nominatim.openstreetmap.org/; coordinates recorded in decimal degrees using WGS84 from verified city-country pairs or capital-city fallback where only country was verified."
Solana (SOL),Switzerland,Europe,Zug,47.166200,8.515500,359550000,CryptoRank. (n.d.). Top 50 ICOs by funding [Dataset excerpt supplied by the researcher].,"Solana Foundation. (n.d.). Solana Foundation. Retrieved June 10, 2026, from https://solana.org/","The Solana Foundation is a non-profit foundation based in Zug, Switzerland, dedicated to the decentralization, adoption, and security of the Solana ecosystem. This information is directly from their official website.","United Nations Statistics Division. (n.d.). Standard country or area codes for statistical use (M49). United Nations. Retrieved June 10, 2026, from https://unstats.un.org/unsd/methodology/m49/; Research protocol fixed seven-region classification: North America, South America, Europe, Asia, Africa, Oceania, Caribbean; unverified locations coded as Not Classified.","OpenStreetMap contributors. (n.d.). Nominatim search API. OpenStreetMap Foundation. Retrieved June 10, 2026, from https://nominatim.openstreetmap.org/; coordinates recorded in decimal degrees using WGS84 from verified city-country pairs or capital-city fallback where only country was verified."
Immutable (IMX),Australia,Oceania,Sydney,-33.868800,151.209300,322380000,CryptoRank. (n.d.). Top 50 ICOs by funding [Dataset excerpt supplied by the researcher].,"CB Insights. (n.d.). Immutable. Retrieved June 10, 2026, from https://www.cbinsights.com/company/fuel-bros","CB Insights lists Immutable’s headquarters location as 77 King Street, Level 18, Sydney, New South Wales 2000, Australia. This company-data source verifies Sydney as the project’s headquarters location.","United Nations Statistics Division. (n.d.). Standard country or area codes for statistical use (M49). United Nations. Retrieved June 10, 2026, from https://unstats.un.org/unsd/methodology/m49/; Research protocol fixed seven-region classification: North America, South America, Europe, Asia, Africa, Oceania, Caribbean; unverified locations coded as Not Classified.","OpenStreetMap contributors. (n.d.). Nominatim search API. OpenStreetMap Foundation. Retrieved June 10, 2026, from https://nominatim.openstreetmap.org/; coordinates recorded in decimal degrees using WGS84 from verified city-country pairs or capital-city fallback where only country was verified."
Dragon Coins (DRG),Thailand,Asia,Phuket,7.880400,98.392300,320000000,CryptoRank. (n.d.). Top 50 ICOs by funding [Dataset excerpt supplied by the researcher].,"Crunchbase. (n.d.). Dragon company profile. Crunchbase. Retrieved June 10, 2026, from https://www.crunchbase.com/organization/dragon-afe2","Crunchbase profile for 'Dragon' (DRG) lists Phuket, Thailand as the headquarters. The white paper and official website did not provide explicit headquarters information.","United Nations Statistics Division. (n.d.). Standard country or area codes for statistical use (M49). United Nations. Retrieved June 10, 2026, from https://unstats.un.org/unsd/methodology/m49/; Research protocol fixed seven-region classification: North America, South America, Europe, Asia, Africa, Oceania, Caribbean; unverified locations coded as Not Classified.","OpenStreetMap contributors. (n.d.). Nominatim search API. OpenStreetMap Foundation. Retrieved June 10, 2026, from https://nominatim.openstreetmap.org/; coordinates recorded in decimal degrees using WGS84 from verified city-country pairs or capital-city fallback where only country was verified."
LayerZero (ZRO),Canada,North America,Vancouver,49.282700,-123.120700,318330000,CryptoRank. (n.d.). Top 50 ICOs by funding [Dataset excerpt supplied by the researcher].,"Crunchbase. (n.d.). LayerZero Labs company profile. Crunchbase. Retrieved June 10, 2026, from https://www.crunchbase.com/organization/layerzero-labs","Crunchbase lists LayerZero Labs Ltd. as being located in Vancouver, British Columbia, Canada. This indicates the legal headquarters of the project.","United Nations Statistics Division. (n.d.). Standard country or area codes for statistical use (M49). United Nations. Retrieved June 10, 2026, from https://unstats.un.org/unsd/methodology/m49/; Research protocol fixed seven-region classification: North America, South America, Europe, Asia, Africa, Oceania, Caribbean; unverified locations coded as Not Classified.","OpenStreetMap contributors. (n.d.). Nominatim search API. OpenStreetMap Foundation. Retrieved June 10, 2026, from https://nominatim.openstreetmap.org/; coordinates recorded in decimal degrees using WGS84 from verified city-country pairs or capital-city fallback where only country was verified."
Axie Infinity (AXS),Singapore,Asia,Singapore,1.352100,103.819800,313970000,CryptoRank. (n.d.). Top 50 ICOs by funding [Dataset excerpt supplied by the researcher].,"Crunchbase. (n.d.). Sky Mavis company profile. Crunchbase. Retrieved June 10, 2026, from https://www.crunchbase.com/organization/sky-mavis","The Crunchbase profile for Sky Mavis, the developer of Axie Infinity, states that its headquarters is located in Singapore, Central Region, Singapore. This indicates the operational headquarters for the project.","United Nations Statistics Division. (n.d.). Standard country or area codes for statistical use (M49). United Nations. Retrieved June 10, 2026, from https://unstats.un.org/unsd/methodology/m49/; Research protocol fixed seven-region classification: North America, South America, Europe, Asia, Africa, Oceania, Caribbean; unverified locations coded as Not Classified.","OpenStreetMap contributors. (n.d.). Nominatim search API. OpenStreetMap Foundation. Retrieved June 10, 2026, from https://nominatim.openstreetmap.org/; coordinates recorded in decimal degrees using WGS84 from verified city-country pairs or capital-city fallback where only country was verified."
OneFootball (OFC),Germany,Europe,Berlin,52.520000,13.405000,310000000,CryptoRank. (n.d.). Top 50 ICOs by funding [Dataset excerpt supplied by the researcher].,"North Data. (n.d.). OneFootball Capital GmbH, Berlin, Germany. Retrieved June 10, 2026, from https://www.northdata.com/OneFootball%20Capital%20GmbH,%20Berlin/Amtsgericht%20Charlottenburg%20(Berlin)%20HRB%20131613%20B","The Northdata profile for OneFootball Capital GmbH, the issuer of the $OFC Token, explicitly states its location as Berlin, Germany. This confirms the legal headquarters for the project.","United Nations Statistics Division. (n.d.). Standard country or area codes for statistical use (M49). United Nations. Retrieved June 10, 2026, from https://unstats.un.org/unsd/methodology/m49/; Research protocol fixed seven-region classification: North America, South America, Europe, Asia, Africa, Oceania, Caribbean; unverified locations coded as Not Classified.","OpenStreetMap contributors. (n.d.). Nominatim search API. OpenStreetMap Foundation. Retrieved June 10, 2026, from https://nominatim.openstreetmap.org/; coordinates recorded in decimal degrees using WGS84 from verified city-country pairs or capital-city fallback where only country was verified."
Huobi Token (HT),Seychelles,Africa,Victoria,-4.619100,55.451300,300000000,CryptoRank. (n.d.). Top 50 ICOs by funding [Dataset excerpt supplied by the researcher].,"Financial Services Authority Seychelles. (2023, November 30). Alert: Huobi Global Limited (194154). https://fsaseychelles.sc/media-corner/regulatory-updates/alert-huobi-global-limited-194155; HTX. (n.d.). Privacy policy. Retrieved June 10, 2026, from https://www.htx.com/en-us/about/privacy/","The Seychelles Financial Services Authority identifies Huobi Global Limited by name and company number in a Seychelles regulatory notice, while HTX/Huobi public materials identify the Huobi Global Limited legal entity. These official and regulatory sources support Seychelles as the legal jurisdiction; no city-level headquarters could be verified.","United Nations Statistics Division. (n.d.). Standard country or area codes for statistical use (M49). United Nations. Retrieved June 10, 2026, from https://unstats.un.org/unsd/methodology/m49/; Research protocol fixed seven-region classification: North America, South America, Europe, Asia, Africa, Oceania, Caribbean; unverified locations coded as Not Classified.","OpenStreetMap contributors. (n.d.). Nominatim search API. OpenStreetMap Foundation. Retrieved June 10, 2026, from https://nominatim.openstreetmap.org/; coordinates recorded in decimal degrees using WGS84 from verified city-country pairs or capital-city fallback where only country was verified."
Hedera (HBAR),United States,North America,Richardson,32.948300,-96.729900,286100000,CryptoRank. (n.d.). Top 50 ICOs by funding [Dataset excerpt supplied by the researcher].,"City of Richardson Economic Development. (n.d.). Hedera Hashgraph selects Richardson, Texas 3400 at CityLine for new corporate headquarters. Retrieved June 10, 2026, from https://richardsoneconomicdevelopment.com/press-release-hedera-hashgraph-selects-richardson-texas-3400-at-cityline-for-new-corporate-headquarters/","According to the press release, Hedera Hashgraph leased space in Richardson, Texas for its new global headquarters. This indicates Richardson, Texas as the corporate headquarters.","United Nations Statistics Division. (n.d.). Standard country or area codes for statistical use (M49). United Nations. Retrieved June 10, 2026, from https://unstats.un.org/unsd/methodology/m49/; Research protocol fixed seven-region classification: North America, South America, Europe, Asia, Africa, Oceania, Caribbean; unverified locations coded as Not Classified.","OpenStreetMap contributors. (n.d.). Nominatim search API. OpenStreetMap Foundation. Retrieved June 10, 2026, from https://nominatim.openstreetmap.org/; coordinates recorded in decimal degrees using WGS84 from verified city-country pairs or capital-city fallback where only country was verified."
Tezos (XTZ),Switzerland,Europe,Zug,47.166200,8.515500,286000000,CryptoRank. (n.d.). Top 50 ICOs by funding [Dataset excerpt supplied by the researcher].,"Tezos Foundation. (n.d.). About us. Retrieved June 10, 2026, from https://tezos.foundation/about-us/; Tezos Foundation. (n.d.). Tezos Foundation [LinkedIn page]. LinkedIn. Retrieved June 10, 2026, from https://www.linkedin.com/company/tezosfoundation/","The Tezos Foundation, a Swiss foundation, is headquartered in Zug, Switzerland, as stated on its official 'About Us' page and corroborated by its LinkedIn profile. This is the most appropriate verified location based on the provided priority order.","United Nations Statistics Division. (n.d.). Standard country or area codes for statistical use (M49). United Nations. Retrieved June 10, 2026, from https://unstats.un.org/unsd/methodology/m49/; Research protocol fixed seven-region classification: North America, South America, Europe, Asia, Africa, Oceania, Caribbean; unverified locations coded as Not Classified.","OpenStreetMap contributors. (n.d.). Nominatim search API. OpenStreetMap Foundation. Retrieved June 10, 2026, from https://nominatim.openstreetmap.org/; coordinates recorded in decimal degrees using WGS84 from verified city-country pairs or capital-city fallback where only country was verified."
SIRIN LABS (SRN),Switzerland,Europe,Schaffhausen,47.695900,8.638000,254880000,CryptoRank. (n.d.). Top 50 ICOs by funding [Dataset excerpt supplied by the researcher].,"PitchBook. (n.d.). Sirin Labs company profile. PitchBook. Retrieved June 10, 2026, from https://pitchbook.com/profiles/company/94847-68","PitchBook lists Sirin Labs as headquartered in Schaffhausen, Switzerland. This uses a reputable company-data source for city-level headquarters verification.","United Nations Statistics Division. (n.d.). Standard country or area codes for statistical use (M49). United Nations. Retrieved June 10, 2026, from https://unstats.un.org/unsd/methodology/m49/; Research protocol fixed seven-region classification: North America, South America, Europe, Asia, Africa, Oceania, Caribbean; unverified locations coded as Not Classified.","OpenStreetMap contributors. (n.d.). Nominatim search API. OpenStreetMap Foundation. Retrieved June 10, 2026, from https://nominatim.openstreetmap.org/; coordinates recorded in decimal degrees using WGS84 from verified city-country pairs or capital-city fallback where only country was verified."
Tribal Token (TRIBL),United States,North America,San Francisco,37.774900,-122.419400,219390000,CryptoRank. (n.d.). Top 50 ICOs by funding [Dataset excerpt supplied by the researcher].,"Crunchbase. (n.d.). Tribal company profile. Crunchbase. Retrieved June 10, 2026, from https://www.crunchbase.com/organization/tribalcredit","Crunchbase profile for Tribal Credit (which is associated with Tribal Token) states the company is located in San Francisco, California, United States.","United Nations Statistics Division. (n.d.). Standard country or area codes for statistical use (M49). United Nations. Retrieved June 10, 2026, from https://unstats.un.org/unsd/methodology/m49/; Research protocol fixed seven-region classification: North America, South America, Europe, Asia, Africa, Oceania, Caribbean; unverified locations coded as Not Classified.","OpenStreetMap contributors. (n.d.). Nominatim search API. OpenStreetMap Foundation. Retrieved June 10, 2026, from https://nominatim.openstreetmap.org/; coordinates recorded in decimal degrees using WGS84 from verified city-country pairs or capital-city fallback where only country was verified."
Filecoin (FIL),United States,North America,San Francisco,37.774900,-122.419400,205920000,CryptoRank. (n.d.). Top 50 ICOs by funding [Dataset excerpt supplied by the researcher].,"Crunchbase. (n.d.). Filecoin Foundation company profile. Crunchbase. Retrieved June 10, 2026, from https://www.crunchbase.com/organization/filecoin-foundation","Crunchbase profile for Filecoin Foundation states: 'Filecoin Foundation is located in San Francisco, California, United States.' This is the legal headquarters of the Filecoin Foundation, which is the sister non-profit of Filecoin.","United Nations Statistics Division. (n.d.). Standard country or area codes for statistical use (M49). United Nations. Retrieved June 10, 2026, from https://unstats.un.org/unsd/methodology/m49/; Research protocol fixed seven-region classification: North America, South America, Europe, Asia, Africa, Oceania, Caribbean; unverified locations coded as Not Classified.","OpenStreetMap contributors. (n.d.). Nominatim search API. OpenStreetMap Foundation. Retrieved June 10, 2026, from https://nominatim.openstreetmap.org/; coordinates recorded in decimal degrees using WGS84 from verified city-country pairs or capital-city fallback where only country was verified."
